item	title	gugyeol	evidence
12-0022470000000-21	예념미타도량참법 권6∼10	unspecified	본문 전반에 묵서된 구결(口訣)이 있으며, 권10 말미에 초주갑인자(初鑄甲寅字)로 인출된 등곡 학조(燈谷學祖)의 ｢발문(跋文)｣이 수록되어 있다.
12-0022480000000-38	예념미타도량참법 권6∼10(2024)	unspecified	본문 전반에 묵서된 구결(口訣)이 있으며 특히 권말의 음의(音義)에는 한글로 음을 달아 놓았다.
12-0022920000000-31	예기집설 권1∼2	unspecified	지정 대상은 1328년 중국 건안(建安)의 정명덕가(鄭明德家)에서 초간된 목판본을 저본으로 1391년 경상도 상주에서 복각된 판본으로 추정되는데, 형태 및 구결 등으로 보아 여말선초에 인쇄된 후인본으로 판단된다.
12-0023050000000-22	묘법연화경 권3(2025)	unspecified	또한 본문 전체에 걸쳐 남아 있는 한글과 구결 등의 표기는 이 책의 자료적 가치를 더하고 있다.
12-0023390000000-11	초조본 유가사지론 권3	석독	그밖에 고려시대에 한문을 우리말로 번역해 읽을 수 있도록 치밀하게 토를 단 석독구결이 표시되어 있어 국어사 연구의 귀중한 자료가 된다는 점, 그리고 이 구결을 통해 고려시대 유식학에 대한 연구 수준을 엿볼 수도 있다는 점에서 의의가 있다.
21-0000200000000-26	대방광원각수다라요의경	unspecified	고려 우왕 6년(1380)에 목판본으로 간행된 것으로 권상 말미에 이색의 발문과 시주질, 권하의 간기(刊記)도 그대로 남아 있으며 구결이 필사되어 있다.
21-0001790000000-11	지장보살본원경	unspecified	이 책은 전권(全卷)에 구결토(口訣吐)가 묵서(墨書)되어 있고 시주자의 이름 중에는 姜內隱同․斤金․梁者叱金․勿乙金․者音尙․月乙古之․加叱朴只 등 이두(吏讀)로 표기 된 토박이 이름이 여럿 포함되어 있다.
21-0001940000000-36	보림사사천왕상복장계초심학인문	한자	이 책 뒤에 『몽산화상법어약록』과 『훈몽요초』가 함께 묶여 있는데, 한자구결이 본문에 있어 학술적 가치가 크다.
21-0002010000000-21	원오사 고봉화상선요	unspecified	구결이 기록되어 있어 당시 구결 연구에 중요한 자료적 가치를 지닌다.
21-0002230000000-21	대불정여래밀인수증요의제보살만행수능엄경 권1~5	음독	서문·본문에는 음독구결이 작은 글자로 묵서되어 있다.
21-0002490000000-33	묘법연화경 권1~3	unspecified	이어 송(宋)의 급남화상(及南和尙)이 쓴 묘법연화경요해서(妙法蓮華經要解書)가 나오며 본문(本文)에는 묵서(墨書)로 쓴 구결(口訣:한문 원전(漢文原典)을 읽을 때 그 뜻 및 독송(讀誦)의 편의를 위하여 각 구절 아래 달아 쓰는 문법적 요소의 총칭)과 두주(頭註:책자에서 본문 페이지의 위쪽에 넣는 주(註))가 있다.
21-0002600000000-35	익산 관음사 묘법연화경	unspecified	익산 관음사 묘법연화경은 희방사에서 간행한 판본으로 발원문, 간기가 명확하게 남아있으며, 권수에 변상도가 수록되어 있을 뿐만 아니라 제1권에서부터 제7권의 말까지 일관되게 구결이 묵서되어 있다.
21-0003470000000-33	묘법연화경 권4~7	unspecified	또한 한문으로 된 원문과 함께 본문을 쉽게 이해할 수 있는 구결口訣이 표기되어 있어 당시의 불교학과 국어학에 관련된 정보를 알려주는 중요한 자료이다.
21-0003540000000-33	대불정여래밀인수증료의제보살만행수능엄경 권9～10	unspecified	권9 첫 장에는 ‘靈源寺印영원사인’이 찍혀 있고 본문에 구결과 한문 주석 및 음역이 기록되어 국어사 연구에 좋은 자료이다.
21-0003980000000-11	대혜보각선사서(2016)	unspecified	또한 전장(全張)에는 구결이 있어서 학습용이었을 것으로 추정된다.
21-0004220000000-11	고봉화상선요	unspecified	그리고 천두(天頭: 페이지 상단) 부분에는 간혹 주해가 세필로 쓰여 있으며, 본문은 구결과 한글 훈독이 세필로 묵서되어 있어 독해에 참고가 된다.
21-0004290000000-11	지장보살본원경	unspecified	법장사 소장 지장보살본원경은 상중하 3권으로 구성된 법등(法燈)의 한역본이며, 한문본과 한문구결본, 한글언해본 등으로 구분되는 지장경의 계통 중 이 책은 한문구결본 계통으로, 15세기 후반 충청도 만수산 무량사(無量寺) 간본계열로 판단된다.
21-0005100000000-38	양산 법천사 묘법연화경	약체	좁은 판심은 판심제와 권·장차만이 있고 어미는 생략되었으며, 난외(欄外)에 주석과 더불어 약체구결이 적혀 있다.
21-0005230000000-11	법집별행록절요병입사기	unspecified	불교학, 구결을 통한 국어학, 인쇄술 및 서지학 분야에 있어서 중요한 자료적 가치를 지니는 것으로 판단된다.
21-0005530000000-11	화계사 대웅전 상량문 및 복장물 일괄	unspecified	특히 『지장보살본원경』은 조선 전기 1558년(명종 13)에 황해도 토산의 석두사에서 판각한 목판본으로 경문에 현토구결이 판각되어 있어 국어학 연구 및 불교학 연구 등에 귀중한 가치를 지니고 있다.
21-0005810000000-38	양산 불광사 예념미타도량참법	약체	본문에는 약체 구결(口訣)표시가 묵서로 쓰여 있으며, 각장마다
21-0006010000000-37	대불정여래밀인수증요의제 보살만행수능엄경	한자	권말의 간기를 통해 1559년 성수사에서 간행한 판본임을 알 수 있으며, 본문에는 묵서로 한문구결과 한글구결이 동시에 남아 있어 국어사 연구에 도움이 되는 중요한 자료이다.
21-0006110000000-11	묘법연화경(611)	약체	나은 모습을 보이고 있으며 전체에 고르게 한자 약체 구결과 한글 훈독이 기입되어 있다.
31-0000240000000-26	고봉화상선요	unspecified	책 전체에 걸쳐 구결이 묵서되어 있으며 난외에는 한글과 한자를 혼용한 번역문과 주석들이 묵서되어 있다.
31-0000310000000-26	묘법연화경 권1	unspecified	임진왜란 이전에 간행된 판본은 현재 남아있는 수량이 많이 않아 판본 연구에 중요한 자료이며, 본문에 묵서로 된 구결(口訣, 한문 문장의 이해를 돕고, 읽기 편하게 하기 위하여 한문 구절 아래에 달아 쓰던 토를 가리킴)이 남아 있어 국어사 연구에도 자료로 활용될 수 있다.
31-0000320000000-26	선원제전집도서	unspecified	본문에는 현토구결(懸吐口訣, 한문을 읽을 때 뜻이나 독송을 위하여 각 구절 아래 달아 쓰던 문법적 요소로, 일명 토를 다는 것)이 먹글씨되어 있고, 각 장의 글씨를 둘러싼 검은 선(광곽匡郭) 오른쪽 아래에는 많은 각수들의 이름이 새겨져 있다.
31-0000600000000-21	관음사 묘법연화경	unspecified	본문 중에는 구결(口訣)이 일부 필사되어 있다.
31-0000780000000-21	해운정사 선문염송집	unspecified	해운정사 선문염송집은 10책이 한 질로 이루어져 있어 완질이 온전히 전해지는 것이 많지 않은 편이고, 구결을 비롯하여 미주, 각주, 행간주 등 여러 주들이 풍부하게 묵서되어 있어 내용 연구에 많은 도움이 될 수 있으며, 또한 표기된 수많은 각수와 연화질도 서지학이나 출판학 연구에 많은 도움이 될 수 있다.
31-0000820000000-11	선가귀감	unspecified	본문의 천두(天頭) 부분에는 간혹 두주(頭註)는 없으나, 본문 사이에는 현토 구결이 처음부터 끝까지 세필로 묵서되어 있다.
31-0000930000000-21	범망경노사나불설보살심지계품제십권화	음독	○ 김응규 소장 ?범망경노사나불설보살심지계품? 권10하는 본문 종이의 종류나 음독구결(音讀口訣) 등에서 고려 후기∼조선 전기에 인출(印出)된 것으로 짐작된다.
31-0005730000000-38	통영 도솔암 고봉화상선요	약체	판심제는 ‘要’이며, 본문에는 묵서로 略體口訣과 한글구결을 섞어 적었다.
